x,y,pressure,azimuth,altitude,tangentPressure,time,Serial number
950,577,0,0,90,0,20:55:27:485,2
1025,569,0,0,90,0,20:55:27:500,2
1057,566,0,0,90,0,20:55:27:508,2
1093,557,0,0,90,0,20:55:27:515,2
1144,543,0,0,90,0,20:55:27:532,2
1165,537,0,0,90,0,20:55:27:538,2
1187,529,0,0,90,0,20:55:27:546,2
1204,523,0,0,90,0,20:55:27:553,2
1217,516,0,0,90,0,20:55:27:565,2
1227,509,0,0,90,0,20:55:27:568,2
1237,503,0,0,90,0,20:55:27:575,2
1246,495,0,0,90,0,20:55:27:583,2
1254,490,0,0,90,0,20:55:27:596,2
1260,485,0,0,90,0,20:55:27:598,2
1262,481,0,0,90,0,20:55:27:606,2
1262,479,0,0,90,0,20:55:27:613,2
1263,476,0,0,90,0,20:55:27:628,2
1263,474,0,0,90,0,20:55:27:636,2
1261,472,0,0,90,0,20:55:27:651,2
1257,468,0,0,90,0,20:55:27:659,2
1242,457,0,0,90,0,20:55:27:666,2
1185,419,0,0,90,0,20:55:27:672,2
1116,386,0,0,90,0,20:55:27:681,2
1044,358,0,0,90,0,20:55:27:689,2
969,334,0,0,90,0,20:55:27:696,2
905,317,0,0,90,0,20:55:27:703,2
856,310,0,0,90,0,20:55:27:711,2
818,308,0,0,90,0,20:55:27:719,2
791,308,0,0,90,0,20:55:27:726,2
768,311,0,0,90,0,20:55:27:734,2
745,316,0,0,90,0,20:55:27:743,2
726,323,0,0,90,0,20:55:27:749,2
713,332,0,0,90,0,20:55:27:758,2
702,340,0,0,90,0,20:55:27:764,2
694,348,0,0,90,0,20:55:27:772,2
686,360,0,0,90,0,20:55:27:779,2
677,374,0,0,90,0,20:55:27:788,2
670,388,0,0,90,0,20:55:27:801,2
663,402,0,0,90,0,20:55:27:802,2
658,412,0,0,90,0,20:55:27:811,2
654,424,0,0,90,0,20:55:27:818,2
650,437,0,0,90,0,20:55:27:833,2
646,445,0,0,90,0,20:55:27:834,2
644,453,0,0,90,0,20:55:27:840,2
643,458,0,0,90,0,20:55:27:849,2
640,464,0,0,90,0,20:55:27:865,2
639,464,0,0,90,0,20:55:27:871,2
638,465,0,0,90,0,20:55:27:878,2
637,466,0,0,90,0,20:55:27:886,2
636,467,0,0,90,0,20:55:27:895,2
635,467,0,0,90,0,20:55:27:918,2
634,467,0,0,90,0,20:55:27:926,2
633,467,0,0,90,0,20:55:27:933,2
633,466,0,0,90,0,20:55:27:940,2
633,465,0,0,90,0,20:55:27:948,2
634,462,0,0,90,0,20:55:27:955,2
654,433,0,0,90,0,20:55:27:962,2
737,350,0,0,90,0,20:55:27:971,2
816,285,0,0,90,0,20:55:27:979,2
897,228,0,0,90,0,20:55:27:989,2
973,191,0,0,90,0,20:55:27:994,2
1035,169,0,0,90,0,20:55:28:01,2
1096,152,0,0,90,0,20:55:28:10,2
1142,145,0,0,90,0,20:55:28:22,2
1173,143,0,0,90,0,20:55:28:23,2
1188,145,0,0,90,0,20:55:28:33,2
1196,150,0,0,90,0,20:55:28:39,2
1199,155,0,0,90,0,20:55:28:47,2
1200,157,0,0,90,0,20:55:28:54,2
1200,162,0,0,90,0,20:55:28:62,2
1198,174,0,0,90,0,20:55:28:70,2
1188,202,0,0,90,0,20:55:28:76,2
1169,235,0,0,90,0,20:55:28:84,2
1144,266,0,0,90,0,20:55:28:91,2
1118,290,0,0,90,0,20:55:28:101,2
1087,315,0,0,90,0,20:55:28:106,2
1056,336,0,0,90,0,20:55:28:120,2
1025,358,0,0,90,0,20:55:28:122,2
993,375,0,0,90,0,20:55:28:130,2
954,390,0,0,90,0,20:55:28:138,2
888,403,0,0,90,0,20:55:28:153,2
861,403,0,0,90,0,20:55:28:161,2
839,403,0,0,90,0,20:55:28:167,2
827,397,0,0,90,0,20:55:28:176,2
819,394,0,0,90,0,20:55:28:183,2
817,390,0,0,90,0,20:55:28:191,2
815,385,0,0,90,0,20:55:28:198,2
813,381,0,0,90,0,20:55:28:207,2
813,378,0,0,90,0,20:55:28:219,2
813,373,0,0,90,0,20:55:28:221,2
815,362,0,0,90,0,20:55:28:228,2
827,337,0,0,90,0,20:55:28:237,2
861,283,0,0,90,0,20:55:28:250,2
897,247,0,0,90,0,20:55:28:251,2
941,217,0,0,90,0,20:55:28:260,2
980,199,0,0,90,0,20:55:28:266,2
1013,194,0,0,90,0,20:55:28:275,2
1039,190,0,0,90,0,20:55:28:281,2
1054,192,0,0,90,0,20:55:28:288,2
1064,197,0,0,90,0,20:55:28:296,2
1071,205,0,0,90,0,20:55:28:304,2
1075,218,0,0,90,0,20:55:28:317,2
1077,244,0,0,90,0,20:55:28:319,2
1073,283,0,0,90,0,20:55:28:328,2
1067,319,0,0,90,0,20:55:28:335,2
1057,359,0,0,90,0,20:55:28:342,2
1040,395,0,0,90,0,20:55:28:351,2
1019,429,0,0,90,0,20:55:28:355,2
994,457,0,0,90,0,20:55:28:365,2
965,484,0,0,90,0,20:55:28:373,2
937,506,0,0,90,0,20:55:28:379,2
910,526,0,0,90,0,20:55:28:388,2
881,537,0,0,90,0,20:55:28:396,2
860,546,0,0,90,0,20:55:28:402,2
